,Car Name,Kilometers,Link,Price,Year
0,Tesla Model 3, 565 km,https://www.cardoor.ca/Details/5YJ3E1EB4NF327388,"$49,998",2022
1,BMW 3 Series, 12500 km,https://www.cardoor.ca/Details/WBA43FF07PFN96120,"$71,587",2023
2,Ford F-150, 65130 km,https://www.cardoor.ca/Details/1FTEW1EP4NFB18900,"$43,995",2022
3,Toyota RAV4, 147000 km,https://www.cardoor.ca/Details/2T3W1RFV6KC001393,"$24,685",2019
4,Hyundai Elantra, 11850 km,https://www.cardoor.ca/Details/KMHLN4AG5PU578756,"$28,587",2023
5,GMC Sierra 3500HD, 10210 km,https://www.cardoor.ca/Details/1GT49WEY8RF396066,"$104,995",2024
6,Toyota Corolla, 27885 km,https://www.cardoor.ca/Details/5YFBPMBEXMP248255,"$24,787",2021
7,Nissan Versa, 79326 km,https://www.cardoor.ca/Details/3N1CN8FV1PL815517,"$21,777",2023
8,Ford Super Duty F-250 SRW, 8833 km,https://www.cardoor.ca/Details/1FT8W2BM2PED69534,"$101,995",2023
9,Toyota Corolla, 59940 km,https://www.cardoor.ca/Details/5FYB4MDE2PP015626,"$26,995",2023
10,BMW 2 Series, 40754 km,https://www.cardoor.ca/Details/WBA2J7C55JVD60648,"$40,448",2018
11,Honda CR-V, 134120 km,https://www.cardoor.ca/Details/2HKRW2H80HH120892,"$23,948",2017
12,Volvo XC90, 97444 km,https://www.cardoor.ca/Details/YV4A22PK6M1725133,"$35,448",2021
13,Mercedes-Benz E-Class, 114452 km,https://www.cardoor.ca/Details/WDDKJ6HB2HF362165,"$23,448",2017
14,Honda CR-V, 110503 km,https://www.cardoor.ca/Details/2HKRM4H75GH115131,"$21,448",2016
15,BMW M2, 94000 km,https://www.cardoor.ca/Details/WBS1H9C39HV887841,"$44,349",2017
16,Honda Civic Sedan, 113065 km,https://www.cardoor.ca/Details/2HGFC2F80JH003537,"$20,448",2018
0,Tesla Model 3, 565 km,https://www.cardoor.ca/Details/5YJ3E1EB4NF327388,"$49,998",2022
1,BMW 3 Series, 12500 km,https://www.cardoor.ca/Details/WBA43FF07PFN96120,"$71,587",2023
2,Ford F-150, 65130 km,https://www.cardoor.ca/Details/1FTEW1EP4NFB18900,"$43,995",2022
3,Toyota RAV4, 147000 km,https://www.cardoor.ca/Details/2T3W1RFV6KC001393,"$24,685",2019
4,Hyundai Elantra, 11850 km,https://www.cardoor.ca/Details/KMHLN4AG5PU578756,"$28,587",2023
5,GMC Sierra 3500HD, 10210 km,https://www.cardoor.ca/Details/1GT49WEY8RF396066,"$104,995",2024
6,Toyota Corolla, 27885 km,https://www.cardoor.ca/Details/5YFBPMBEXMP248255,"$24,787",2021
7,Nissan Versa, 79326 km,https://www.cardoor.ca/Details/3N1CN8FV1PL815517,"$21,777",2023
8,Ford Super Duty F-250 SRW, 8833 km,https://www.cardoor.ca/Details/1FT8W2BM2PED69534,"$101,995",2023
9,Toyota Corolla, 59940 km,https://www.cardoor.ca/Details/5FYB4MDE2PP015626,"$26,995",2023
10,BMW 2 Series, 40754 km,https://www.cardoor.ca/Details/WBA2J7C55JVD60648,"$40,448",2018
11,Honda CR-V, 134120 km,https://www.cardoor.ca/Details/2HKRW2H80HH120892,"$23,948",2017
12,Volvo XC90, 97444 km,https://www.cardoor.ca/Details/YV4A22PK6M1725133,"$35,448",2021
13,Mercedes-Benz E-Class, 114452 km,https://www.cardoor.ca/Details/WDDKJ6HB2HF362165,"$23,448",2017
14,Honda CR-V, 110503 km,https://www.cardoor.ca/Details/2HKRM4H75GH115131,"$21,448",2016
15,BMW M2, 94000 km,https://www.cardoor.ca/Details/WBS1H9C39HV887841,"$44,349",2017
16,Honda Civic Sedan, 113065 km,https://www.cardoor.ca/Details/2HGFC2F80JH003537,"$20,448",2018
